"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,Impresiones,"Personas alcanzadas",Interacciones,"Veces compartido","Me gusta",Comentarios,"Segundos reproducidos","Reproducciones de vídeo de 60 segundos","Reproducción de vídeo de 3 segundos","Segundos reproducidos de media","Total de clics","Otros clics","Visualizaciones de fotos","Clics en el enlace","Tiempo medio dedicado al artículo","Profundidad de desplazamiento diaria en el artículo","Comentarios negativos únicos de los usuarios: Ocultar todo"
621908069937746,103185414664070,"Philosophical Gym Bro",,"O.C

Learning always gives a subtle sense of uncanniness, because it reminds you that your previous worldview was actually insufficient. It's the same experience as meeting an angel which starts it's message with the phrase ""Be not afraid."" For this reason it's terribly aesthetic and fun.",0,"01/16/2023 10:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02RXGzHynARSKdJ6zkqfhbdU4iQQw7g8JASLRS55krTLTcdC3QwgEbwLRQv6h1mSNFl,0,Foto,,,,,Total,1164,1048,22,4,17,1,0,0,0,0,41,17,24,,0,0,
622056499922903,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/16/2023 15:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02jtcyZ1DefeUxoyVUHDiAC7fw1XYSd1K2eezpX4J9GEThsPnu8rptbJBC4N29252jl,0,Foto,,,,,Total,2370,2282,157,25,130,2,0,0,0,0,312,158,154,,0,0,
622071389921414,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/16/2023 16:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02G8RjUsQYndqE95yNZjeeQrH4KrArnG6vCEvzKQjVbxH2AJau8qm6zimyU67WTfr4l,0,Foto,,,,,Total,2876,2788,93,11,80,2,0,0,0,0,622,172,450,,0,0,
622694299859123,103185414664070,"Philosophical Gym Bro",,OC,0,"01/17/2023 09:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0WPNE7TX5zW2yqpLB4mM8Tq6Rc9m6ZEpC7xXPNXR8vtLiPxPtqtsmDiraAQmcyku5l,0,Foto,,,,,Total,2012,1907,184,10,124,50,0,0,0,0,327,260,67,,0,0,
623019243159962,103185414664070,"Philosophical Gym Bro",,"Which way, British analyst?",0,"01/17/2023 21:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02bXjBuACJhqxt44g5VkpthPNvFnfQHfJzJ2u618Ytzh2BgeapNaDnLCTXuC7bosnCl,0,Foto,,,,,Total,2006,1946,36,4,27,5,0,0,0,0,131,94,37,,0,0,
624332353028651,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/19/2023 11:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid022oYhNb9WiMCLnewc5gExWoxAJS5kJnbjm3853Erf57wUxUagNGX8fnP9CR4HAdvEl,0,Foto,,,,,Total,914,875,12,1,11,0,0,0,0,0,110,20,90,,0,0,
624463329682220,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/19/2023 15:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid06qNFRiw9narVPx3H4j21TMoJHtfhxzW5jiwUqZcyKbXboZRZ245YdBDmyC1hDggXl,0,Foto,,,,,Total,2106,2077,47,4,41,2,0,0,0,0,158,44,114,,0,0,
624505066344713,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/19/2023 16:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02F7LwPE6UYFxs7EWcwzABecJC21ZqRunVt1KrtrWaGxkBq1nUfgHf2TrD1bXrq4qCl,0,Foto,,,,,Total,2614,2552,125,13,110,2,0,0,0,0,236,132,104,,0,0,
624637926331427,103185414664070,"Philosophical Gym Bro",,OC,0,"01/19/2023 20:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02JQnmSW9PyLP91wEDEQvArT4wYmg386z9dq2aMH5J2zQ9rx5fbNu3H4iqS2WG7jJol,0,Foto,,,,,Total,1910,1892,76,17,55,4,0,0,0,0,54,19,35,,0,0,
624926016302618,103185414664070,"Philosophical Gym Bro",,OC,0,"01/20/2023 05:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02RSFe7thdZCbQsqtZ9ehB9fQQfX3bpM3KQ8w7xPA121kiw1AmzkpXs7YhqGR4xov8l,0,Foto,,,,,Total,4625,4541,78,5,68,5,0,0,0,0,236,149,87,,0,0,
625327439595809,103185414664070,"Philosophical Gym Bro",,"*Carnap has entered the chat (gym)*",0,"01/20/2023 14:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02jN9mBhHdVS5f9gar37SW12piZxrGqVVRidkR2cfeiwPuzv1w7bxbZ9YW23P6JX1hl,0,Foto,,,,,Total,2890,2784,104,6,92,6,0,0,0,0,166,96,70,,0,0,
625331936262026,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/20/2023 14:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0QZUH9e1VTWFsfj4yNELNmN9wCd86MH5xoLMAoBh2SwQEWJYjF6WsQQsbWdNZTPxLl,0,Foto,,,,,Total,790,776,4,0,4,0,0,0,0,0,16,9,7,,0,0,
