"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Profundidad de desplazamiento diaria en el artículo","Tiempo medio dedicado al artículo","Otros clics","Visualizaciones de fotos","Clics en el enlace","Total de clics","Segundos reproducidos de media","Reproducciones de vídeo de 60 segundos","Reproducción de vídeo de 3 segundos","Segundos reproducidos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Personas alcanzadas",Impresiones,"Comentarios negativos únicos de los usuarios: Ocultar","Comentarios negativos únicos de los usuarios: Ocultar todo"
483359929979948,103185414664070,"Philosophical Gym Bro",,"Not OC",0,"02/15/2022 19:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0aBWoqDe6y2ujzaWEdiDSANLfUQMUaikW1YsmWwxWTkdiMSfKexyzcuEH9cHtvbF3l,0,Foto,,,,,Total,0,0,42,18,,60,0,0,0,0,0,94,15,109,2246,2348,,
483424239973517,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/15/2022 22:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0n4XDP5uKtUskr9T3dZYFcVyetebVExPZnuZgYaDxCbZ9uDs2j3sKGTBsdSseUjXel,0,Foto,,,,,Total,0,0,17,13,,30,0,0,0,0,0,14,4,18,1023,1061,,
483698589946082,103185414664070,"Philosophical Gym Bro",,"NONTEMPORAL ENTITIES THE MOST TOXIC FANDOM CONFIRMED!
o.c.",0,"02/16/2022 08:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02nUyzE2RaaBYXA1WkjzVmQqRoR9RG7tXbLtJZkkVsZVE2bu9t4YnuEX5JM67ckp1Dl,0,Foto,,,,,Total,0,0,128,42,,170,0,0,0,0,18,124,27,169,4399,4469,,1
483960283253246,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/16/2022 18:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02NSG7rzLvCn2SJSF5WsqJ9rWx9ZK7DkeUTUzUUCQApAx7v6dXsQJphzieYj1Vay9hl,0,Foto,,,,,Total,0,0,48,94,,142,0,0,0,0,0,27,2,29,1586,1636,,
484073473241927,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/16/2022 23:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid022HiJRD3JouLB6Q7g8KVJiQwNKjKi1LqawpwKKPMFkEuPM1rvJmmNDaBGcZm9Y578l,0,Foto,,,,,Total,0,0,23,7,,30,0,0,0,0,0,23,4,27,1253,1277,,
484444206538187,103185414664070,"Philosophical Gym Bro",,"Probably already been done",0,"02/17/2022 11:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0xvzUK5zFNFqALVhfqfUMsM1ZbmkVB6x5FSP4GJgphACByzb9kgZJ7pXPc9wQDsQ6l,0,Foto,,,,,Total,0,0,56,133,,189,0,0,0,0,2,52,7,61,1770,1821,,
484618739854067,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/17/2022 19:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid084zLXrcgBBzDg7cF95Gw2755gH7FfPofznypATdRA4YM57EiXn9unQmzPiS8DaQXl,0,Foto,,,,,Total,0,0,204,69,,273,0,0,0,0,5,107,13,125,2193,2274,,
484631599852781,103185414664070,"Philosophical Gym Bro",,"Biblically accurate Krebs
OC",0,"02/17/2022 19:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02LaoFkL3arCn4nErgvH6CWWG8Rg8aWmekqyTFu8RPBH9LafS3YQqQ3NLfjH6Xu5AAl,0,Foto,,,,,Total,0,0,7,3,,10,0,0,0,0,0,14,3,17,1081,1122,,
484669769848964,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/17/2022 21:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0G5ExqPzcgCxHQrE7FxdE67brXsmQRSxY5tV6fMH9jbjmLn95ZXkZ76vJAnjzEmyXl,0,Foto,,,,,Total,0,0,23,39,,62,0,0,0,0,1,22,5,28,1464,1538,,
485011236481484,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/18/2022 10:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid087PfX5acm8VdhXEQERNzDogrWGu8oYGx3g2j1Kv8DxvqhFXXRwjvbjQRoWh4N8myl,0,Foto,,,,,Total,0,0,34,13,,47,0,0,0,0,0,18,2,20,1392,1434,,
