"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Otros clics","Visualizaciones de fotos","Clics en el enlace","Total de clics","Personas alcanzadas","Segundos reproducidos","Comentarios negativos únicos de los usuarios: Ocultar","Reproducciones de vídeo de 60 segundos","Segundos reproducidos de media","Reproducción de vídeo de 3 segundos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Tiempo medio dedicado al artículo","Profundidad de desplazamiento diaria en el artículo",Impresiones,"Comentarios negativos únicos de los usuarios: Ocultar todo"
359823759000233,103185414664070,"Philosophical Gym Bro",,"Lots of Text O.C.",0,"08/01/2021 10:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02yU1xsY4hRMgfqd7uMrYeG3Bn2566JJ1gqib6vrPyjeJ5ew7tkugHDqzwSigLsQLxl,0,Foto,,,,,Total,2,4,,6,473,0,1,0,0,0,0,13,1,14,0,0,492,
360153148967294,103185414664070,"Philosophical Gym Bro",,"(Stolen Content) is... Is Chrischan a world historical individual?",0,"08/01/2021 23:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02VPausZDEVziDG14StuUcbzpzMkrS2Kxj7y6WyrDZrpZCDjE2Dz4YgVzegyoB3ppfl,0,Foto,,,,,Total,8,7,,15,596,0,1,0,0,0,0,18,2,20,0,0,630,
360687192247223,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/02/2021 20:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02JGNYGCEjhGEsLFXKCoNmTadj8Dc4EvpKfNV6ZQouBW8dJSiQVeJMff5QPztzBENPl,0,Foto,,,,,Total,43,11,,54,819,0,1,0,0,0,1,75,2,78,0,0,857,
360761225573153,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/02/2021 23:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02xbZa1uNpWsUdX8shRKgVJGZg314sUfbVfSrQfMrd272wwVzBSuEg8qFLCtDN5otol,0,Foto,,,,,Total,52,17,,69,1010,0,1,0,0,0,1,66,8,75,0,0,1032,
361227032193239,103185414664070,"Philosophical Gym Bro",,"The REAL dilemma of this situation. 
O.C.",0,"08/03/2021 16:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02JDeD8N1UKnSsojzKQ7Q9vNGmbgWJSxd5FMD5C48XZ2SNN4fqWGdwC5uybCf1viMyl,0,Foto,,,,,Total,2,2,,4,463,0,,0,0,0,0,18,1,19,0,0,481,
361399552175987,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/03/2021 23:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02p7MR9iRgCCivLSXWvaQaCGzQkx3zNb9t7VywPQQjG5opqQ2TK2hVRgjNbLs7jkT2l,0,Foto,,,,,Total,19,14,,33,400,0,,0,0,0,0,10,0,10,0,0,419,
361450038837605,103185414664070,"Philosophical Gym Bro","Actualización de estado","Disco Elysium is so gud. Do skip the pretentious tl;dr under the post tho.",0,"08/04/2021 01:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0X2pQajsyK1AN48zuGHeGiHZP6wEo3yMGT6oqk4XtETVKC1zyRPFPryQySdLuzmNcl,0,Foto,,,,,Total,14,,,14,245,0,,0,0,0,1,2,0,3,0,0,261,
361553512160591,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/04/2021 05:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0J9vt9TcCMLUinznXQbYTQ5FE2U3GC9ws5BSuQq7x7pEPxr3dGdCDj8QUVyj4yefFl,0,Foto,,,,,Total,31,5,,36,483,0,,0,0,0,1,11,0,12,0,0,487,
362279348754674,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/05/2021 09:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid04GwbVbTRLkHcaiF34oXrLLqfPsHhjcABxUJv4aCqCL98NUEaJStAZUxRVJz5Rjbvl,0,Foto,,,,,Total,10,2,,12,443,0,,0,0,0,0,3,1,4,0,0,461,
362283985420877,103185414664070,"Philosophical Gym Bro",,"OC. can a logician tell me if this meme is even good idek",0,"08/05/2021 09:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0J1dWVHtRdwBJ1zNEuVWB1tqZsDyWLydKMuVxiJ8zYH1AzfkaTBq3qegM5TYaTdT1l,0,Foto,,,,,Total,56,19,,75,1686,0,,0,0,0,1,38,4,43,0,0,1780,
