identificador de la publicación,Identificador de la página,Nombre de la página,Título,Descripción,Duración (segundos),Hora de publicación,Tipo de subtítulo,Enlace permanente,Se usa en varias publicaciones,Tipo de publicación,Idiomas,Etiquetas personalizadas,"Estado ""Contenido financiado""",Comentario,Fecha,Reproducción de vídeo de 3 segundos,Profundidad de desplazamiento diaria en el artículo,Personas alcanzadas,Tiempo medio dedicado al artículo,Impresiones,Segundos reproducidos,Reproducciones de vídeo de 60 segundos,Otros clics,Clics en el enlace,Visualizaciones de fotos,Total de clics,Segundos reproducidos de media,Comentarios,Me gusta,Veces compartido,Interacciones,Comentarios negativos únicos de los usuarios: Ocultar todo,Comentarios negativos únicos de los usuarios: Ocultar
5.86075E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/24/2022 09:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid024px9kXAY3Ai6KAzJUNdpGfm1ZY69op2ZK78gxyv8UtMnGy8NUfcsyvVsFYicQPfl,0,Foto,,,,,Total,0,0,2282,0,2419,0,0,78,,53,131,0,7,64,6,77,,
5.86153E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/24/2022 12:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid036boZ1L89BbySH7RxR1U5YQHmcTg5AP5JBM5AadVBzNXi3n9ztiyPkwV9RXPxfXocl,0,Foto,,,,,Total,0,0,1972,0,2023,0,0,40,,32,72,0,0,27,6,33,,
5.86156E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,"Martin Loser lol
*Faiths hard, works harder*",0,7/24/2022 12:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02ppx5Fai6EX6QduRq7EMT8frof6oW1JkVPYp4sqHwa7AfpnUMphwJamo73PQHSfjAl,0,Foto,,,,,Total,0,0,2014,0,2078,0,0,44,,62,106,0,0,23,5,28,,
5.86675E+14,1.03185E+14,Philosophical Gym Bro,Fotos de la biografía,,0,7/25/2022 09:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02TeZ9TyT5w4tdwYcPEFza5UQL8z6AWgYggX3u6JRQJT6UZATxzy3Fo8gGkKy5Gwr3l,0,Foto,,,,,Total,0,0,2273,0,2329,0,0,46,,79,125,0,0,55,17,72,1,
5.87364E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/26/2022 12:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0F9qYeHvphduUhVzRSfWA6oGVgeodvXwonwtwZkdNV8GVXXXCFMjkesd9Z64svuTwl,0,Foto,,,,,Total,0,0,2641,0,2699,0,0,189,,40,229,0,5,78,10,93,,
5.87435E+14,1.03185E+14,Philosophical Gym Bro,,,0,7/26/2022 15:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02uA8hhibjUv4oSfgBcrs4PQHKPRiFd3VzV9vejQLGzbHcAzpv19oc1JkGrTGmLrVml,0,Foto,,,,,Total,0,0,9755,0,10178,0,0,573,,81,654,0,23,209,25,257,,
5.87828E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/27/2022 07:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0fTSEP1Ps2na3EZ8kfej3oXWjcUd5854G6iHnP8CirrWEG2BSqPbpPwUZeHGdujLl,0,Foto,,,,,Total,0,0,1621,0,1678,0,0,39,,10,49,0,1,13,2,16,,
5.88118E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/27/2022 18:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0274fpeQgrznWoMDj5WXWY4jAfsVdhE5uRDhsZan6hq6KuSJJFsxxdCkJwAPDniMkxl,0,Foto,,,,,Total,0,0,1693,0,1785,0,0,52,,67,119,0,0,9,0,9,,
5.88598E+14,1.03185E+14,Philosophical Gym Bro,,,0,7/28/2022 11:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0uHZVCipa3Suzw7y1ZeaW6EkoDVpd7pyfEue3NCEYMUa96DcHoNieU3ovJCcqFzRjl,0,Foto,,,,,Total,0,0,1877,0,1884,0,0,32,,55,87,0,1,23,2,26,,
5.89921E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/30/2022 14:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid022BGaqFWc344p8ubVAs9LxkU5FW4pfSUAiZ6xSbS3yRmo2queEEztr4jf8RfYMGwNl,0,Foto,,,,,Total,0,0,1468,0,1486,0,0,33,,12,45,0,0,12,4,16,,
5.89974E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/30/2022 17:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02EZKtD2XsudR3Z71sL5q51Bnzpfk7fCtrxoXyy2n834DsUApAEzBaKyWPfBsAJNzPl,0,Foto,,,,,Total,0,0,2049,0,2070,0,0,161,,26,187,0,1,29,4,34,,
5.9015E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/31/2022 00:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0aeGi47BzFwRHv4WWoWWSC8cee3N9nBF2Ai8f6aX2XBD34MJUkafPLmjbrwykunMYl,0,Foto,,,,,Total,0,0,2079,0,2079,0,0,53,,32,85,0,1,50,9,60,,
5.9047E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/31/2022 11:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02rnXdNMdhjp7RHVYqioPkMyWAmRdQJidoMuDyV6fixBSsh3UcESrcGXT1CUqwCiD2l,0,Texto,,,,,Total,0,0,967,0,1013,0,0,23,,,23,0,0,1,1,2,,
5.90723E+14,1.03185E+14,Philosophical Gym Bro,,OC,0,7/31/2022 22:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0A7oub88NQHZXiD7JFAt8Ps6tomUCYrF8VV6JpGrrXnFcSLndyeKJWMjj9JaMqjASl,0,Foto,,,,,Total,0,0,35053,0,36241,0,0,1367,,492,1859,0,18,713,137,868,,
5.91179E+14,1.03185E+14,Philosophical Gym Bro,,"How many scoops of pre-workout does it take to get out of an existential crisis? 
3.5, but it'll be back in 6 hours.",0,8/1/2022 15:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0ThcZesUwMju1hy3G1fRpXsZErPrWpPgEi3aM1unvKWziLpNvPCHsnB4x4hMzYBynl,0,Texto,,,,,Total,0,0,1253,0,1311,0,0,30,,,30,0,3,17,2,22,,
5.91288E+14,1.03185E+14,Philosophical Gym Bro,,third (best) critique meme,0,8/1/2022 20:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02vxeX3ft3w6RhXgqrLWzyen7io1bDV7JaTPrCCX5YqzmiAGm2QfYFtj7k76V6Swsnl,0,Foto,,,,,Total,0,0,2085,0,2187,0,0,45,,25,70,0,1,38,10,49,,
5.92252E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/3/2022 09:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0343AhaGHmqJBcVMgCT6PXrcQXaJx7HQbHLwUVLdrXcd1mkYbBVeHR7U1a6xvFyAE6l,0,Foto,,,,,Total,0,0,2447,0,2515,0,0,178,,67,245,0,1,135,34,170,,
5.92466E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/3/2022 18:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02qUX2wJLZbMsA1o53ZYgPxpDTEt8mFofi8g5ZC7AycxQAubuJvPSJHWGfHfstKGFAl,0,Foto,,,,,Total,0,0,1744,0,1804,0,0,61,,12,73,0,1,35,3,39,,
5.93154E+14,1.03185E+14,Philosophical Gym Bro,,"Guys, it's important that you learn how to be a RATIONAL person through Cognitive CBT therapy.
O.C.",0,8/4/2022 20:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid034DsUXMtnepXcLFGEiAeR1fdGyJKUqQRbZ3sot188DEbr1isUUSPCkahwAE7fRoQ3l,0,Foto,,,,,Total,0,0,3386,0,3629,0,0,89,,68,157,0,8,72,18,98,,
5.93612E+14,1.03185E+14,Philosophical Gym Bro,,Low effort meme expressing my minor enlightenment from meditation today.,0,8/5/2022 13:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0WDjhr3KPWwe7S6mLHVsCkYjMcfpA1R7C8X4c8KsvqfCfGgX3e7Swu6rMJDxkEkEFl,0,Foto,,,,,Total,0,0,1684,0,1936,0,0,53,,6,59,0,13,25,4,42,,
5.94969E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/7/2022 14:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid06wTprFmu9yGeFBLQyoXhu7i17AaRMPCTNoovGn877r7icm87hZ2Hf6WYC63rZYrEl,0,Foto,,,,,Total,0,0,3259,0,3418,0,0,424,,100,524,0,4,78,9,91,,
5.94981E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,We've been looking for america for a while now. Let us know if anyone finds it okay?,0,8/7/2022 15:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0q5hFQAVpzZQZgA3YJeNP3qAFkLbCVLMgAtJvaHBPgCzvWrfZSBLh1uNen4guvPCNl,0,Foto,,,,,Total,0,0,1360,0,1464,0,0,58,,24,82,0,3,20,4,27,,
5.95725E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/8/2022 17:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0mutp95H8YpfyFuk6Wu28dycaRhJiQTs3qmekdTzsqRAcp7KVuk4wXTDvf3X9LVcHl,0,Foto,,,,,Total,0,0,2556,0,2703,0,0,102,,31,133,0,4,113,17,134,,
5.96151E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/9/2022 09:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02ktbHooZM1ZU1VKzgXJPnNgAY6fzFePRxJtJp8rETxQFLPgmUniAJSbcsYx324dd5l,0,Foto,,,,,Total,0,0,2942,0,3051,0,0,184,,232,416,0,0,61,14,75,,
5.96786E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/10/2022 09:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02dKEqMEcvLmE3d4oSAen3QFH6xxeLebuh4NMnVUR9gZ8YynjB2e49AGK3ffLv6WkXl,0,Foto,,,,,Total,0,0,2313,0,2418,0,0,90,,68,158,0,3,26,6,35,,
5.96816E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/10/2022 10:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02zzgexkdyb83aHMHf2VwaY3autqcWg9yF3UcbJd3LewzGjD79VF3PNwTBrjLE8hVCl,0,Foto,,,,,Total,0,0,1240,0,1308,0,0,97,,19,116,0,1,16,0,17,,
5.96966E+14,1.03185E+14,Philosophical Gym Bro,Fotos de la biografía,I'm dying. I need Disco Elysium memes to live. Please,0,8/10/2022 17:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02BtuLvTLZCAC9ujPbYDCXbzzauciyWKsSW58qJsA547CStRkemRFjKqYuT1D1jmijl,0,Foto,,,,,Total,0,0,1902,0,1971,0,0,100,,48,148,0,1,22,2,25,,
5.97508E+14,1.03185E+14,Philosophical Gym Bro,,,0,8/11/2022 12:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0D6MwraFP4jdJJsiQrTzyF6kn33VCR45QzbSsn6rNGo8y5saNG5fpwTcWdvRpGqiEl,0,Foto,,,,,Total,0,0,17374,0,18485,0,0,1434,,292,1726,0,73,610,67,750,1,
5.97512E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/11/2022 12:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02rpvxMabeKXq23PvUtPX4VBs22sm6haJTDKpfrKvrb7CbY4RfysUFbVC8qmUrRRoTl,0,Foto,,,,,Total,0,0,2942,0,3091,0,0,240,,85,325,0,3,124,15,142,,
5.9821E+14,1.03185E+14,Philosophical Gym Bro,,Freudmin just finished his intro to social work final and can now return to the abyss,0,8/12/2022 13:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0mRPbEBHxF6o9aszxdHYSr7AeNmKK9EBUXXa8Q64siWqghujnJsw71wd7ESTyxuqGl,0,Foto,,,,,Total,0,0,1378,0,1476,0,0,17,,8,25,0,0,27,4,31,,
5.98766E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/13/2022 10:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Fa5gA4adNQ9gG75agRvDiHrsAax4ksWTnK5ZNm33y1ZFjQNPge2QE3fqbPmnKriKl,0,Foto,,,,,Total,0,0,2155,0,2277,0,0,53,,50,103,0,2,23,0,25,,
5.99518E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/14/2022 13:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0nACZrPWWKpKkU512RPAsNnFzro5A9YSQTY9c74zotKuLmJzZ73a3cwgYXNgvwdrHl,0,Foto,,,,,Total,0,0,2963,0,3056,0,0,105,,51,156,0,1,59,11,71,,
