"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,Impresiones,"Reproducciones de vídeo de 60 segundos","Segundos reproducidos","Segundos reproducidos de media",Comentarios,"Me gusta","Veces compartido",Interacciones,"Reproducción de vídeo de 3 segundos","Tiempo medio dedicado al artículo","Total de clics","Personas alcanzadas","Otros clics","Visualizaciones de fotos","Profundidad de desplazamiento diaria en el artículo","Clics en el enlace","Comentarios negativos únicos de los usuarios: Ocultar","Comentarios negativos únicos de los usuarios: Ocultar todo"
299490575033552,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"04/25/2021 19:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02iFVQRn3wGM93UatWdh2wuHeKMEnVrAbvPnG2BW1kMosRcbtwHT4XpjTGtu35F3ufl,0,Foto,,,,,Total,43,0,0,0,2,19,0,21,0,0,0,39,,,0,,,
299415661707710,103185414664070,"Philosophical Gym Bro",,"Can I have uh......
O.C.",0,"04/26/2021 08:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid09DHreE1bN5RePQXNTubPUmwPUqP7VeeE8rko7CsvexyYMKzR82RRyqskoPriK92Nl,0,Foto,,,,,Total,74,0,0,0,0,15,3,18,0,0,2,69,,2,0,,,
300096931639583,103185414664070,"Philosophical Gym Bro",,"Philosophy 102 level jokes.
Behind the times O.C.",0,"04/26/2021 19:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0vupXsjnh47Kh9LsCTUqHKXUEfSYCP9JWDDCde6a4L48UcbZcjCfF8UNKKayuXBdSl,0,Foto,,,,,Total,72,0,0,0,0,11,1,12,0,0,7,68,5,2,0,,,
300108634971746,103185414664070,"Philosophical Gym Bro","Actualización de estado","Fs in the chat",0,"04/26/2021 20:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02kBkwx7vFdYpA9xhXUzYeZpB4EY4deaCN76C9EeLNRNXsFsXLFwTXmwrSYAGa98JRl,0,Foto,,,,,Total,59,0,0,0,0,23,1,24,0,0,0,54,,,0,,,
300111631638113,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"04/26/2021 20:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid024fsiQw3vsCuV21NyhZY13K1ghkzXYgpj7suLTJqN39xuoVqZTJCR2gYPPAS1sfJEl,0,Foto,,,,,Total,55,0,0,0,0,19,3,22,0,0,0,51,,,0,,,
300637111585565,103185414664070,"Philosophical Gym Bro",,"True Story time from Gymmin.

One of my roommates got like a 7 day pass to a crossfit gym. When I came home, he started telling me about what a great workout he'd gotten there on like day 4, and started bragging about how intense it was.

To prove his point, he pulled down his pants (Less weird in context than it sounds) to show like 8"" diameter bruises on both of his thighs from all of the cleans and jerks they were doing at apparently a weight high enough that he couldn't complete them without slamming the bar into his legs.

-_-

That's all. That was my only real experience with crossfit and it confirmed what I'd heard about it from memes online.",0,"04/27/2021 17:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid035CzvUhtdrsVywZJoqKZsJq3FfEEzkgFkVumH1fkycqdGdnF3ZMmTSfP3S4SZ2tpRl,0,Foto,,,,,Total,123,0,0,0,0,18,5,23,0,0,1,113,1,,0,,,
300767501572526,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"04/27/2021 23:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02CdPz9QZW9yAeu97qJMmxNBqXZ4ifyJYBt1xc4hBMFnShqiQg844Pw8GYQbPs5Q2nl,0,Foto,,,,,Total,22,0,0,0,2,34,3,39,0,0,6,22,,6,0,,,
301261248189818,103185414664070,"Philosophical Gym Bro",,"The End.

I strongly recommend Robert Salpolsky's lectures on behavioral evolution to all of y'all. I listened to them in the gym and when I did running.",0,"04/28/2021 20:04",N/A,https://www.facebook.com/GymKingSadBoi/photos/a.103875024595109/301261248189818/?type=3,0,Foto,,,,,Total,221,0,0,0,5,27,2,34,0,0,10,197,8,2,0,,,
302246834757926,103185414664070,"Philosophical Gym Bro",,"Not OC",0,"04/30/2021 11:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02GFdJ3YRfGVNV6Nb9XkrDFnzakxTaXjuioQnpKtb3UZhe2AtPM1pzd4kowF3sxNKPl,0,Foto,,,,,Total,748,0,0,0,1,40,8,49,0,0,26,707,20,6,0,,,
302311311418145,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"04/30/2021 14:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid05DYgtvpjXWoHj36Ye8AFCMrnW6MCA63tM4G4ZEfRQtfLtUGrzY8TtziePtUsywrcl,0,Foto,,,,,Total,255,0,0,0,0,6,1,7,0,0,3,245,1,2,0,,,
